ASN,Betweenness-C,Closeness-C,Eigenvector-C,tier,Degree-C
47453,1.51E-08,0.26725629,7.40178E-05,0,4.07886E-05
48064,5.11E-09,0.263607789,0.000101826,0,2.71924E-05
48458,0,0.262665438,4.97125E-05,0,1.35962E-05
48745,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
48746,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
48917,1.55E-08,0.286864306,0.000322543,0,4.07886E-05
49040,1.15E-07,0.269193043,0.000118372,0,6.7981E-05
49950,0,0.262708595,4.99514E-05,0,2.71924E-05
50379,1.44E-09,0.266123926,6.6283E-05,0,2.71924E-05
50431,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
51374,1.85E-09,0.26720386,9.05554E-05,0,2.71924E-05
51383,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
51581,5.35E-09,0.283255026,0.000257496,0,2.71924E-05
51614,1.21E-08,0.263477473,5.39673E-05,0,2.71924E-05
51855,2.95E-08,0.266270369,5.70221E-05,0,5.43848E-05
56371,5.11E-09,0.263607789,0.000101826,0,2.71924E-05
56539,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
56661,0,0.262665438,4.97125E-05,0,1.35962E-05
56856,5.11E-09,0.263607789,0.000101826,0,2.71924E-05
59484,4.37E-08,0.262759276,5.01326E-05,0,4.07886E-05
59851,1.48E-07,0.286891161,0.000326253,0,6.7981E-05
60092,2.72532E-05,0.267813903,9.14846E-05,0,9.51734E-05
60200,1.03E-08,0.267832433,9.25062E-05,0,4.07886E-05
60578,3.02E-09,0.263866915,8.37144E-05,0,2.71924E-05
60966,3.56E-08,0.267218422,7.05513E-05,0,2.71924E-05
61321,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
62037,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
62411,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
62418,4.35E-08,0.26271141,5.02648E-05,0,2.71924E-05
196738,0,0.265007801,0.00010817,0,2.71924E-05
196801,0,0.265007801,0.00010817,0,2.71924E-05
196807,2.71975E-05,0.266570501,0.000147807,0,5.43848E-05
197050,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
197086,1.27E-08,0.269131972,0.000127281,0,4.07886E-05
197102,1.40E-08,0.262702965,5.10751E-05,0,2.71924E-05
197232,5.35E-09,0.283255026,0.000257496,0,2.71924E-05
198003,5.35E-09,0.283255026,0.000257496,0,2.71924E-05
198280,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
198576,5.14E-09,0.265002072,8.93487E-05,0,2.71924E-05
198744,0,0.262665438,4.97125E-05,0,1.35962E-05
198790,5.35E-09,0.283255026,0.000257496,0,2.71924E-05
198868,3.56E-08,0.267218422,7.05513E-05,0,2.71924E-05
198938,3.02E-09,0.263866915,8.37144E-05,0,2.71924E-05
198940,5.35E-09,0.283255026,0.000257496,0,2.71924E-05
198941,0,0.265007801,0.00010817,0,2.71924E-05
199282,0,0.262665438,4.97125E-05,0,1.35962E-05
