ASN,Betweenness-C,Closeness-C,Eigenvector-C,Degree-C,tier
276,9.62e-6,0.229915918,0.0000132083,0.000549068,9
278,2.45e-6,0.258175185,0.0000569536,0.000292836,21
286,0.006119098,0.378430422,0.077496558,0.012079505,3
288,0.0000733727,0.261717253,0.000734687,0.000219627,25
293,0.005468376,0.386439191,0.028457231,0.004868407,1
297,0.001217665,0.360577621,0.008166573,0.001244555,20
302,0.0000995667,0.309292241,0.001090663,0.000219627,3
376,0.000403656,0.309278234,0.001726169,0.000585673,21
391,0.0,0.206173818,5.37e-7,0.0000732091,4
400,0.0000592157,0.253653871,0.0000320895,0.000292836,18
450,0.0,0.228261778,3.71e-6,0.0000366046,
513,0.000243521,0.316751893,0.010917288,0.001647205,20
539,2.15e-9,0.230864145,9.59e-6,0.0000732091,18
549,0.000225192,0.302115706,0.001182424,0.00040265,4
553,0.000234682,0.330606218,0.031502802,0.001757019,4
557,0.000110458,0.302179204,0.001129724,0.000183023,21
558,0.0000943468,0.34277791,0.008291318,0.000549068,7
559,0.000209403,0.340564262,0.019023993,0.002159669,24
567,0.0000776954,0.254782357,0.00016864,0.000366046,26
575,0.0000732038,0.237287399,9.39e-6,0.000109814,4
577,0.003498112,0.35985088,0.014456109,0.004282734,2
594,0.000374313,0.30487383,0.000876347,0.000292836,18
600,0.000859245,0.30724328,0.001975185,0.001024928,20
611,6.82e-7,0.249299567,0.0000357467,0.000109814,21
638,1.05e-7,0.243226398,0.0000160586,0.000146418,7
655,0.0,0.228261778,3.71e-6,0.0000366046,
665,0.0000896028,0.245189028,0.0000189835,0.000183023,18
668,0.001767674,0.317998207,0.002470473,0.00128116,22
679,0.0,0.277329949,0.000727265,0.0000732091,25
680,0.000940688,0.335404261,0.022247173,0.001903437,2
684,0.00032279,0.267769097,0.000388959,0.000292836,4
688,0.0,0.231535319,7.46e-6,0.0000732091,21
701,0.148831882,0.425531583,0.05446746,0.100772356,1
702,0.019930758,0.380937108,0.04375689,0.020827995,2
703,0.003319836,0.34881375,0.013592902,0.008309235,2
705,6.87e-7,0.305340696,0.000966785,0.000183023,3
714,0.000189574,0.321974965,0.002854451,0.000439255,16
715,0.000147199,0.264149301,0.000495718,0.000219627,7
719,0.000306845,0.289684938,0.001508101,0.000512464,15
721,0.004909542,0.310614589,0.001087895,0.001390973,2
724,0.000414563,0.276767984,0.000367616,0.000658882,17
745,0.000439182,0.170226953,2.25e-9,0.000256232,
760,1.0e-6,0.277380638,0.000730088,0.000109814,25
766,0.000517718,0.334373776,0.006055641,0.000658882,24
786,0.000316346,0.333781357,0.033423304,0.001866833,15
803,0.000527413,0.327357484,0.003312806,0.000695487,4
812,0.00094817,0.342374071,0.02406359,0.003733665,5
818,0.0000853329,0.267824228,0.000386088,0.000146418,22
852,0.003780749,0.36147464,0.019837622,0.005197848,2
855,0.00079849,0.322313074,0.00146283,0.000841905,3
921,0.0,0.214395592,1.93e-6,0.0000732091,17
1103,0.001143413,0.341676048,0.063607229,0.006735239,24
1110,0.0,0.252799423,0.000222759,0.0000732091,25
1120,0.0000183306,0.315300446,0.006038943,0.000512464,25
1125,0.0000732038,0.254670719,0.000533637,0.0000732091,25
1126,0.0000217701,0.329995168,0.029106376,0.001464182,2
1133,2.96e-9,0.259250823,0.001290957,0.000109814,25
1140,0.0000148433,0.315522598,0.022316528,0.001098137,25
1145,3.86e-9,0.254908365,0.000677101,0.0000732091,25
1213,0.0000957727,0.300285809,0.001291563,0.000219627,24
1221,0.003470895,0.302654612,0.00260706,0.004465756,13
1224,1.66e-8,0.228168355,0.0000324989,0.000109814,24
1226,4.96e-6,0.28741425,0.000678974,0.000219627,11
1237,0.000628733,0.266869218,0.000241644,0.001317764,24
1239,0.100097341,0.418343594,0.0513867,0.061788499,1
1241,0.001575084,0.291083264,0.000699616,0.001244555,14
1251,0.0000754893,0.301835298,0.001334554,0.000439255,26
1257,0.003917898,0.367045577,0.041317179,0.005563893,3
1267,0.003632883,0.320479129,0.014431132,0.004246129,15
1273,0.011294813,0.385942357,0.051869659,0.011200996,13
1280,0.000895666,0.36942322,0.024894354,0.00329441,3
1290,0.000606804,0.343148216,0.035930596,0.002342692,13
1294,8.98e-6,0.300361749,0.000487364,0.000109814,3
1297,1.3e-8,0.283524308,0.000493827,0.000146418,21
1299,0.044326143,0.409863614,0.069142433,0.018521908,1
1309,3.12e-6,0.249358734,0.00008084,0.0000732091,25
1342,0.0000208482,0.317909388,0.003185116,0.000219627,4
1351,0.000012282,0.30561398,0.000917779,0.000109814,3
1455,0.0,0.20510876,2.7e-7,0.0000732091,4
1456,0.0,0.20510876,2.7e-7,0.0000732091,4
1491,0.0000732038,0.237287399,9.39e-6,0.000109814,4
1547,0.0000732038,0.297023997,0.001035273,0.000109814,3
1556,0.0000182936,0.228265593,3.71e-6,0.0000732091,
1559,0.0000182936,0.228265593,3.71e-6,0.0000732091,
1562,0.000219606,0.228282761,3.77e-6,0.000219627,
1563,0.0000915125,0.228280853,3.77e-6,0.000183023,
1569,0.0000732064,0.22827513,3.77e-6,0.000146418,
1580,0.0000915125,0.228280853,3.77e-6,0.000183023,
1582,0.0000732038,0.228265593,3.71e-6,0.0000732091,
1591,1.05e-7,0.243222067,0.0000158982,0.000109814,4
1600,2.15e-9,0.230864145,9.59e-6,0.0000732091,18
1601,0.0,0.227964617,6.5e-6,0.0000366046,
1602,0.0,0.227964617,6.5e-6,0.0000366046,
1653,0.000969333,0.299285667,0.006269726,0.000988323,25
1659,0.000129862,0.305808994,0.000965158,0.00040265,24
1668,0.002011129,0.377990563,0.018066837,0.003257806,4
1680,0.002758067,0.329525441,0.003038435,0.002269483,7
1701,3.85e-8,0.266934412,0.0000846863,0.0000732091,21
1727,0.000012573,0.230868048,9.59e-6,0.000109814,18
1733,0.000537059,0.247912658,0.0000224402,0.000549068,5
1741,0.000367429,0.290288301,0.002455857,0.000366046,25
1742,0.000161127,0.307922087,0.001365699,0.000219627,2
1754,0.000299062,0.251243941,0.000186647,0.0000732091,3
1757,7.89e-6,0.32438755,0.001543474,0.000146418,2
1759,0.000667197,0.298389916,0.001884464,0.000915114,2
1764,0.000490185,0.310763,0.004389196,0.001171346,2
1767,0.0000732354,0.235225736,8.5e-6,0.000109814,23
1778,0.0000732038,0.2051103,2.68e-7,0.0000732091,4
1784,0.001102201,0.352127564,0.018765653,0.002232878,3
1785,0.003609606,0.344255271,0.014649343,0.003916688,3
1789,0.0000732038,0.294961776,0.000431112,0.0000732091,2
1798,0.0000120389,0.30235647,0.001132626,0.000109814,4
1803,0.000169071,0.29517532,0.000441418,0.000219627,12
1835,5.22e-6,0.30017032,0.003062598,0.000292836,25
1836,0.000415657,0.333020432,0.030172616,0.002196274,2
1840,0.0000733258,0.258162986,0.0000502501,0.000146418,21
1842,0.0000772271,0.250761915,0.000194533,0.000256232,22
1853,0.001758668,0.335276646,0.017612264,0.003806874,24
1880,0.0000948747,0.307904733,0.003447738,0.000512464,26
1883,2.43e-7,0.287359828,0.000551449,0.0000732091,15
1887,0.0000789495,0.231948171,0.0000147906,0.000219627,26
1889,0.000017328,0.287941393,0.001079639,0.000146418,7
1901,0.000928409,0.317824316,0.008715375,0.001647205,4
1913,0.002042624,0.29577297,0.000441713,0.000878509,2
1916,0.001345966,0.304884038,0.0024848,0.002928365,25
1930,0.000265567,0.305928863,0.002080133,0.000841905,24
1945,0.0000732038,0.249165405,0.0000807087,0.0000732091,25
1955,0.000540232,0.297369968,0.000960901,0.00040265,24
1968,0.0000190654,0.29529338,0.000449491,0.000146418,21
1970,0.000294253,0.245087836,0.000037889,0.000329441,12
1972,0.0,0.237089691,0.0000161771,0.0000366046,
1982,0.000145682,0.330646235,0.006846722,0.000622278,2
2018,3.88e-6,0.281273489,0.001056841,0.000146418,24
2025,2.93e-7,0.253101576,0.000040528,0.000109814,21
2042,0.00025254,0.301345836,0.001715766,0.000658882,5
2044,0.000100157,0.335112125,0.008198511,0.000585673,17
2048,3.2e-6,0.239362448,0.0000375268,0.000183023,9
2055,1.23e-7,0.235509652,0.0000104518,0.0000732091,21
2110,0.000575403,0.341262009,0.031299693,0.00208646,15
2116,0.000489633,0.334345128,0.010908096,0.001134741,2
2118,0.000468114,0.292182302,0.002718187,0.001024928,15
2119,0.002318126,0.363950065,0.100362587,0.0112376,2
2128,1.09e-7,0.266923979,0.000935935,0.000146418,25
2140,0.0000198128,0.332299346,0.00183573,0.000219627,2
2152,0.003198179,0.334701529,0.009514162,0.003111388,25
2153,0.000317215,0.299768455,0.002338627,0.001500787,24
2200,0.002210972,0.331839164,0.009620129,0.001647205,24
2379,0.000114097,0.316513336,0.001311103,0.00040265,2
2381,0.000632614,0.331786768,0.00892637,0.001061532,20
2386,0.000278217,0.320486649,0.001398437,0.000439255,17
2422,0.0000733417,0.250603183,0.0000837942,0.000109814,25
2477,0.0000732038,0.249165405,0.0000807087,0.0000732091,25
2486,3.76e-7,0.318610185,0.00867247,0.000366046,2
2495,0.000378581,0.302983585,0.001334477,0.000366046,8
2497,0.007104639,0.389975445,0.041906767,0.008199422,2
2500,0.000595149,0.32438755,0.006214988,0.001098137,16
